date,Year,Totals,% of GDP,World GDP
1984-12-31,1984,37706647293,0.003073128,1.22698E+13
1985-12-31,1985,37665035197,0.00292883,1.28601E+13
1986-12-31,1986,35348075575,0.002324718,1.52053E+13
1987-12-31,1987,30618322055,0.001769105,1.73072E+13
1988-12-31,1988,26523969177,0.001371599,1.9338E+13
1989-12-31,1989,24649990786,0.001220659,2.0194E+13
1990-12-31,1990,23303762710,0.001022993,2.278E+13
1991-12-31,1991,26664291722,0.001122255,2.37596E+13
1992-12-31,1992,27771636514,0.001093109,2.54061E+13
1993-12-31,1993,29139537930,0.001128478,2.5822E+13
1994-12-31,1994,30211445450,0.001083925,2.78723E+13
1995-12-31,1995,41586611940,0.001339617,3.10436E+13
1996-12-31,1996,42009082557,0.001323677,3.17367E+13
1997-12-31,1997,52568901205,0.001662497,3.16204E+13
1998-12-31,1998,66739842976,0.002116041,3.154E+13
1999-12-31,1999,57496136237,0.001756284,3.27374E+13
2000-12-31,2000,49322126517,0.001457903,3.38309E+13
2001-12-31,2001,59901804093,0.001781973,3.36154E+13
2002-12-31,2002,70469729806,0.002018529,3.49114E+13
2003-12-31,2003,71912955980,0.001836998,3.9147E+13
2004-12-31,2004,62139796027,0.001408504,4.41176E+13
2005-12-31,2005,34714264905,0.000726548,4.77797E+13
2006-12-31,2006,13666660759,0.000263938,5.17798E+13
2007-12-31,2007,9833092338,0.000168505,5.8355E+13
2008-12-31,2008,21487336753,0.000335092,6.41237E+13
2009-12-31,2009,42300847722,0.000695633,6.08091E+13
2010-12-31,2010,60439448644,0.000907553,6.65961E+13
2011-12-31,2011,92585525384,0.001253633,7.38538E+13
2012-12-31,2012,95808640755,0.001269189,7.54881E+13
2013-12-31,2013,90073641743,0.001160635,7.76072E+13
2014-12-31,2014,75334319046,0.000945119,7.97088E+13
2015-12-31,2015,57333751899,0.000762627,7.51793E+13
2016-12-31,2016,55750278788,0.00072909,7.64656E+13
2017-12-31,2017,46107666542,0.000566406,8.1404E+13
2018-12-31,2018,61821792421,0.000715422,8.6413E+13
2019-12-31,2019,73536345315,0.00083895,8.76529E+13
2020-12-31,2020,1.0589E+11,0.001247137,8.49068E+13
2021-12-31,2021,1.04029E+11,0.001082511,9.61001E+13
